##########################################################
##                                   __                 ##
##                                 .d$$b                ##
##                               .' TO$;\               ##
##                              /  : TP._;              ##
##                             / _.;  :Tb|              ##
##                            /   /   ;j$j              ##
##                        _.-"       d$$$$              ##
##                      .' ..       d$$$$;              ##
##                     /  /P'      d$$$$P. [31m|\[0m           ##
##                    /   "      .d$$$P' [31m|\[0m^"l          ##
##                  .'           `T$P^"""""  :          ##
##              ._.'      _.'                ;          ##
##           `-.-".-'-' ._.       _.-"    .-"           ##
##         `.-" _____  ._              .-"              ##
##        -(.g$$$$$$$b.              .'                 ##
##          ""^^T$$$P^)            .(:                  ##
##            _/  -"  /.'         /:/;                  ##
##         ._.'-'`-'  ")/         /;/;                  ##
##      `-.-"..--""   " /         /  ;                  ##
##     .-" ..--""        -'          :                  ##
##     ..--""--.-"         (\      .-(\                 ##
##       ..--""              `-\(\/;`                   ##
##         _.                      :                    ##
##                                 ;`-                  ##
##                                :\                    ##
##                                ;                     ##
##                                                      ##
##########################################################


# for color:      [31m         [36m
# to rest color:  [0m
# othercolors:    30-black, 31-red, 32-green, 33-yellow, 34-blue, 35-purple, 36-cyan, 37-white


id           = mountain_wolf
name         = Giant Mountain Wolf

story        = You encounter a wolf howling at the moonlight
warn         = The wolf growls at you as you try to get closer
winning      = The wolf lets out a piercing cry then dies
losing       = The wolf tears at your throat and you bleed out in seconds

hp           = 10
atk          = 4
def          = 3

chance       = 8
score        = 3
drops        = potion:2, steel_armor:3, steel_sword:3, medusa_head:2, teleporter:2, rusty_coin:8
